Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_M_quadrado;Tipo Agregado
1312;Apartamento;Tijuca;1;1;0;68;1600.0;447.0;64.0;23.53;Apartamento
1313;Apartamento;Leblon;3;1;0;120;5500.0;1605.0;405.0;45.83;Apartamento
1314;Apartamento;Leblon;3;1;1;130;7500.0;1900.0;654.0;57.69;Apartamento
1316;Apartamento;Copacabana;1;0;0;38;1500.0;365.0;74.0;39.47;Apartamento
1317;Apartamento;Barra da Tijuca;3;2;1;130;9000.0;2433.0;807.0;69.23;Apartamento
1318;Apartamento;Botafogo;1;1;0;50;2600.0;660.0;107.0;52.0;Apartamento
1319;Apartamento;Barra da Tijuca;2;1;1;96;2500.0;1603.0;235.0;26.04;Apartamento
1320;Apartamento;Leblon;1;0;0;19;1450.0;502.0;0.0;76.32;Apartamento
1321;Apartamento;Barra da Tijuca;2;1;1;78;4000.0;2750.0;0.0;51.28;Apartamento
1322;Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;25.64;Apartamento
1323;Apartamento;Copacabana;4;1;1;220;12000.0;1500.0;515.0;54.55;Apartamento
1325;Apartamento;Ipanema;4;3;1;180;8000.0;1800.0;600.0;44.44;Apartamento
1326;Apartamento;Copacabana;2;0;0;56;2300.0;767.0;130.0;41.07;Apartamento
1332;Apartamento;Botafogo;2;1;2;82;4800.0;1150.0;197.0;58.54;Apartamento
1335;Apartamento;Ipanema;2;0;0;60;2900.0;507.0;125.0;48.33;Apartamento
1336;Apartamento;Ipanema;2;1;1;80;5000.0;1230.0;260.0;62.5;Apartamento
1338;Apartamento;Leblon;4;2;0;167;4500.0;5000.0;750.0;26.95;Apartamento
1339;Apartamento;Leblon;2;1;2;93;5900.0;1240.0;320.0;63.44;Apartamento
1341;Apartamento;Botafogo;3;1;0;110;2500.0;1300.0;0.0;22.73;Apartamento
1344;Apartamento;Copacabana;1;0;0;57;2000.0;620.0;79.0;35.09;Apartamento
1347;Apartamento;Barra da Tijuca;4;4;2;330;7900.0;1913.0;683.0;23.94;Apartamento
1348;Apartamento;Copacabana;3;0;0;120;2300.0;1900.0;2362.0;19.17;Apartamento
1351;Apartamento;Barra da Tijuca;4;3;2;145;5000.0;1550.0;500.0;34.48;Apartamento
1353;Apartamento;Copacabana;3;0;0;120;3000.0;780.0;220.0;25.0;Apartamento
1355;Apartamento;Botafogo;2;1;1;80;4000.0;1.0;0.0;50.0;Apartamento
1357;Apartamento;Copacabana;1;0;0;41;1200.0;430.0;0.0;29.27;Apartamento
1360;Apartamento;Barra da Tijuca;5;2;4;200;5890.0;2300.0;290.0;29.45;Apartamento
1362;Apartamento;Ipanema;1;1;0;51;2800.0;635.0;100.0;54.9;Apartamento
1365;Apartamento;Barra da Tijuca;4;2;4;206;6900.0;2681.0;612.0;33.5;Apartamento
1367;Apartamento;Barra da Tijuca;4;2;2;168;5000.0;2070.0;5100.0;29.76;Apartamento
1368;Apartamento;Barra da Tijuca;3;1;1;98;2400.0;1380.0;150.0;24.49;Apartamento
1369;Apartamento;Barra da Tijuca;2;2;2;112;4000.0;1400.0;300.0;35.71;Apartamento
1370;Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;100.0;31.43;Apartamento
1371;Apartamento;Ipanema;3;1;1;140;7300.0;2900.0;500.0;52.14;Apartamento
1374;Apartamento;Leblon;2;0;0;70;3500.0;762.0;234.0;50.0;Apartamento
1376;Apartamento;Leblon;3;1;0;140;10000.0;2000.0;500.0;71.43;Apartamento
1377;Apartamento;Barra da Tijuca;1;1;0;55;2100.0;1200.0;0.0;38.18;Apartamento
1380;Apartamento;Barra da Tijuca;1;1;0;50;1600.0;950.0;100.0;32.0;Apartamento
1383;Apartamento;Barra da Tijuca;2;1;1;69;2500.0;1000.0;180.0;36.23;Apartamento
1384;Apartamento;Leblon;3;3;2;200;10500.0;1710.0;0.0;52.5;Apartamento
1385;Apartamento;Barra da Tijuca;4;3;2;303;9000.0;2277.0;16910.0;29.7;Apartamento
1386;Apartamento;Botafogo;2;1;0;95;2500.0;870.0;0.0;26.32;Apartamento
1390;Apartamento;Ipanema;1;0;0;36;2100.0;580.0;25.0;58.33;Apartamento
1393;Apartamento;Ipanema;3;0;0;165;6900.0;3000.0;769.0;41.82;Apartamento
